makespan,loadBalance,flowtime,communicationCost,waitingTime
214.0,1.059405941,5002.0,299.0,1071.0
243.0,1.070484581,6121.0,342.0,957.0
264.0,1.01734104,6956.0,331.0,1697.0
210.0,1.031941032,5287.0,345.0,1120.0
237.0,1.037199125,5543.0,343.0,875.0
237.0,1.010660981,6041.0,342.0,1064.0
229.0,1.060185185,4946.0,328.0,854.0
227.0,1.020224719,5160.0,363.0,1179.0
231.0,1.026666667,5702.0,329.0,998.0
216.0,1.002320186,5117.0,322.0,701.0
248.0,1.050847458,5556.0,414.0,1209.0
206.0,1.048346056,4728.0,263.0,1041.0
252.0,1.079229122,6249.0,321.0,1519.0
221.0,1.020785219,5546.0,346.0,980.0
239.0,1.066964286,5905.0,294.0,795.0
264.0,1.037328094,6578.0,295.0,1230.0
229.0,1.002188184,5799.0,304.0,1155.0
272.0,1.028355388,5860.0,377.0,1290.0
209.0,1.004807692,5122.0,269.0,1209.0
201.0,1.010050251,4505.0,325.0,937.0
268.0,1.017077799,5913.0,371.0,1468.0
212.0,1.095607235,5231.0,286.0,1320.0
214.0,1.023923445,5784.0,267.0,1019.0
228.0,1.024719101,5292.0,339.0,881.0
227.0,1.046082949,5453.0,292.0,1189.0
201.0,1.072,4709.0,274.0,855.0
231.0,1.01986755,5358.0,299.0,1027.0
227.0,1.020224719,4845.0,375.0,966.0
211.0,1.076530612,5420.0,297.0,1236.0
209.0,1.007228916,4968.0,366.0,1185.0
235.0,1.044444444,4925.0,294.0,1025.0
247.0,1.016460905,5786.0,330.0,815.0
218.0,1.060827251,4983.0,290.0,867.0
222.0,1.027777778,5448.0,402.0,1012.0
248.0,1.022680412,5849.0,330.0,949.0
256.0,1.040650407,5928.0,343.0,1205.0
241.0,1.043290043,5389.0,316.0,790.0
223.0,1.042056075,5346.0,297.0,736.0
209.0,1.004807692,4706.0,316.0,1239.0
219.0,1.020979021,5215.0,299.0,1178.0
210.0,1.05,4950.0,372.0,933.0
247.0,1.027027027,5635.0,349.0,1355.0
